"Slashpile1"	"Slashpile10"	"Slashpile13"	"Slashpile14"	"Slashpile15"	"Slashpile16"	"Slashpile17"	"Slashpile18"	"Slashpile19"	"Slashpile2"	"Slashpile20"	"Slashpile22"	"Slashpile23"	"Slashpile24"	"Slashpile25"	"Slashpile26"	"Slashpile27"	"Slashpile28"	"Slashpile3"	"Slashpile4"	"Slashpile40"	"Slashpile5"	"Slashpile6"	"Slashpile7"	"Slashpile8"	"Slashpile9"
"Taxa_00010"	0.261961549107897	0.222578715073274	0.220923831782679	0.196295975740062	0.250504078964758	0.0635350080483699	0.160274993041633	0.152050208993759	0.143354311813759	0.0605782532815383	0.234618566101733	0.199080454899359	0.242313013126153	0.144628597423402	0.19156525704423	0.16479066509591	0.19156525704423	0.215031467720638	0.241554598079215	0.125617739645965	0.18473884368744	0.241554598079215	0.294288131916929	0.171341174751248	0.135457092295719	0.180722302051284
"Taxa_00017"	0.159936890691587	0.187428931506373	0.180003031655537	0.188336582972282	0.237224745355547	0.0184679213788279	0.191033664169012	0.0184679213788279	0.357629759696343	0.378028922574537	0.0783527546483355	0.193693193494255	0.170265822185894	0.146584581602015	0.0261175848827785	0.0738716855153118	0.191924268829905	0	0.197183441714108	0.223148743057108	0.165182110424724	0.224671960351256	0.196316697115061	0.172257303022971	0.22843557159153	0.288478153927321
"Taxa_00020"	0.218806595110405	0.163155963056666	0.232185621592202	0.223796311877743	0.268717058473574	0.0266432571987476	0.150192787994247	0.00888108573291586	0.244512274368618	0.241183212100487	0.0925083493085953	0.234971442215392	0.179389138435201	0.203781732543128	0.0307649834315707	0.0879182632446147	0.220869584659038	0.0234971442215392	0.256015685523326	0.143890034388393	0.137728431896955	0.222382103011274	0.225026453992965	0.229107914673064	0.278517985079559	0.277738119011242
"Taxa_00021"	0.0427740216013943	0.229350139663683	0.254855646985617	0.1625272110744	0.194844941356193	0.0302458007329658	0.0282923559328485	0.0261936317925504	0.0709326902131909	0.507237498546183	0.0641610324020915	0.0659191944307331	0.0595389182817912	0.102568500587413	0.0667809198210393	0.0926084733220795	0.202047834969297	0.0400114334717213	0.137776179312859	0.263893528090584	0.457702018559045	0.177653854273558	0.126527262218938	0.183978023397351	0.255079893088822	0.170090615878898
"Taxa_00027"	0.201274663066634	0.168827114275093	0.241228631758	0.252489458418179	0.305557614687074	0.0272266385058665	0.178329286214351	0	0.151346807662964	0.244358132585579	0.0537683028640817	0.120229580238883	0.107364133113987	0.260153344755069	0.0304403072489654	0.106148978486855	0.240150681633025	0.0285555393708829	0.255553585937268	0.134213796672317	0.161534524236726	0.231105891928168	0.177077837165249	0.237902248023278	0.280645765975492	0.322092399341962
"Taxa_00030"	0.205043628017354	0.176177111787635	0.19804347745287	0.195894660041965	0.218371770722104	0.0964961782421972	0.17294422958363	0.0650577100991178	0.218371770722104	0.25308480542279	0.119960490109698	0.209131278501939	0.170479340148908	0.222848377935611	0.142534301443674	0.19732980494273	0.236962531922219	0.107558582913987	0.215772014118489	0.225366518631518	0.143520709763175	0.211145430394607	0.217075784376167	0.259688126895637	0.240508302959222	0.218371770722104
"Taxa_00031"	0.204009500940253	0.176925518133684	0.180071107047985	0.191040179975218	0.242663259699703	0.104301101721533	0.180071107047985	0.110826105244177	0.185447544308523	0.242663259699703	0.128427189307393	0.210277750066279	0.180654807467106	0.208602203443067	0.152187862275279	0.171691063974292	0.2126013316544	0.1514945198891	0.249648826909104	0.192686320135691	0.146309648331319	0.224640207684373	0.232772513914633	0.21652661074599	0.238138013857553	0.252305484029174
"Taxa_00034"	0.203594639423715	0.188927829641098	0.0959754334331593	0.126963564417887	0.115070502280587	0.203594639423715	0.19044534662683	0.206402974009358	0.15915725089476	0.0239938583582898	0.23873587634214	0.160955694994913	0.194927026778142	0.151750484535328	0.459029538748727	0.13990703385892	0.188927829641098	0.38465081099855	0.209173607698828	0.15915725089476	0.0239938583582898	0.167957008508029	0.200747021707016	0.119969291791449	0.143963150149739	0.0831171634923383
"Taxa_00035"	0.152337621928571	0.174902021999684	0.125788651356657	0.133912245338045	0.137794563652388	0.243046764960585	0.253665116957735	0.0974354703692446	0.125788651356657	0.0324784901230815	0.318222913670292	0.148835139446897	0.159111456835146	0.117102861488421	0.481733858627898	0.148835139446897	0.141570456285296	0.275589127304775	0.186574721177009	0.174902021999684	0.0974354703692446	0.177892016741205	0.189380513524897	0.129913960492326	0.107718965495525	0.245207223136842
"Taxa_00036"	0.157134840263677	0.286066801931906	0.202715254548857	0.182574185835055	0.235515120818258	0.127380334271358	0.227322425222014	0.0296956935458249	0.0915282745608793	0.0209980262782904	0.297550256600161	0.128414562350355	0.11766391621109	0.212069670093451	0.0586442958790831	0.0430331482911935	0.132803178814933	0.0733429527120503	0.224982852570184	0.176683137896437	0.316784995992656	0.19809498371982	0.29442198177271	0.276505020668751	0.204232118868275	0.25990094436503
